  , 	  , 	T1, 	T2, 	T3, 	T4, 	T5, 	T6, 	T7, 	T8, 	T9, 	T10, 	T11, 	T12, 	T13, 	T14, 	T15, 	T16, 	T17, 	T18, 	T19,  	T20,  	T21,  	T22,  	T23,  	T24  
K1, 	S46, 	0.000,	0.000,	0.000,	0.067,	0.554,	0.276,	0.000,	0.000,	0.255,	0.394,	0.572,	0.961,	0.509,	0.752,	0.960,	1.036,	0.714,	0.912,	0.173,	0.318,	0.368,	0.281,	0.184,	0.079, 
K1, 	S47, 	0.187,	0.000,	0.123,	0.046,	0.000,	0.000,	0.031,	0.073,	0.101,	0.324,	0.772,	0.739,	0.941,	0.562,	0.750,	0.626,	0.763,	0.824,	0.452,	0.415,	0.250,	0.098,	0.249,	0.175, 
K1, 	S48, 	0.395,	0.178,	0.286,	0.000,	0.031,	0.031,	0.000,	0.078,	0.037,	0.456,	0.833,	0.874,	0.512,	0.810,	0.745,	0.760,	0.595,	0.515,	0.458,	0.328,	0.364,	0.126,	0.171,	0.262, 
K1, 	S49, 	0.150,	0.417,	0.266,	0.094,	0.254,	0.031,	0.133,	0.000,	0.000,	0.363,	0.837,	0.858,	0.496,	0.738,	0.311,	1.024,	0.517,	0.556,	0.400,	0.336,	0.276,	0.353,	0.228,	0.239, 
K1, 	S50, 	0.000,	0.000,	0.081,	0.000,	0.000,	0.000,	0.080,	0.349,	0.210,	0.426,	0.638,	0.709,	0.957,	0.960,	0.482,	0.680,	0.821,	0.654,	0.564,	0.454,	0.029,	0.391,	0.245,	0.124, 
K1, 	S51, 	0.113,	0.032,	0.000,	0.345,	0.105,	0.277,	0.264,	0.510,	0.125,	0.148,	0.695,	0.270,	0.745,	0.859,	0.858,	0.986,	0.609,	0.575,	0.658,	0.287,	0.356,	0.253,	0.104,	0.132, 
K1, 	S52, 	0.001,	0.223,	0.182,	0.101,	0.136,	0.000,	0.233,	0.031,	0.000,	0.370,	0.655,	0.929,	0.964,	0.960,	0.770,	0.889,	0.640,	0.498,	0.560,	0.393,	0.001,	0.073,	0.099,	0.276, 
K1, 	S53, 	0.000,	0.000,	0.019,	0.066,	0.063,	0.000,	0.177,	0.097,	0.062,	0.144,	0.635,	0.788,	0.535,	0.803,	0.882,	0.763,	0.739,	0.730,	0.288,	0.271,	0.316,	0.050,	0.000,	0.122, 
K1, 	S54, 	0.000,	0.397,	0.323,	0.000,	0.000,	0.039,	0.000,	0.000,	0.000,	0.482,	0.743,	0.735,	0.751,	0.808,	0.863,	0.714,	0.934,	0.431,	0.250,	0.327,	0.271,	0.199,	0.148,	0.174, 
K1, 	S55, 	0.000,	0.000,	0.000,	0.000,	0.045,	0.051,	0.000,	0.100,	0.192,	0.281,	0.751,	0.913,	0.873,	0.960,	0.839,	0.970,	0.934,	0.887,	0.435,	0.074,	0.363,	0.018,	0.189,	0.174, 
