  , 	  , 	T1, 	T2, 	T3, 	T4, 	T5, 	T6, 	T7, 	T8, 	T9, 	T10, 	T11, 	T12, 	T13, 	T14, 	T15, 	T16, 	T17, 	T18, 	T19,  	T20,  	T21,  	T22,  	T23,  	T24  
K20, 	S66, 	0.293,	0.259,	0.018,	0.185,	0.295,	0.381,	0.148,	0.012,	0.169,	0.000,	0.000,	0.002,	0.148,	0.144,	0.092,	0.556,	0.853,	0.853,	0.891,	0.882,	0.665,	0.609,	0.589,	0.128, 
K20, 	S67, 	0.055,	0.291,	0.426,	0.189,	0.236,	0.123,	0.171,	0.047,	0.160,	0.131,	0.321,	0.122,	0.184,	0.033,	0.147,	0.802,	0.575,	0.830,	0.706,	0.582,	0.647,	0.569,	0.450,	0.405, 
K20, 	S68, 	0.222,	0.063,	0.000,	0.000,	0.323,	0.000,	0.341,	0.245,	0.190,	0.340,	0.000,	0.045,	0.029,	0.139,	0.290,	0.516,	0.629,	0.737,	0.969,	0.989,	0.738,	0.571,	0.821,	0.200, 
K20, 	S69, 	0.402,	0.125,	0.000,	0.169,	0.195,	0.000,	0.091,	0.144,	0.000,	0.102,	0.078,	0.039,	0.283,	0.203,	0.460,	0.676,	0.720,	0.674,	0.394,	0.736,	0.729,	0.520,	0.451,	0.469, 
K20, 	S70, 	0.093,	0.076,	0.314,	0.065,	0.223,	0.231,	0.006,	0.134,	0.157,	0.031,	0.091,	0.367,	0.110,	0.000,	0.358,	0.529,	0.546,	0.691,	0.884,	0.830,	0.728,	0.862,	0.441,	0.164, 
K20, 	S71, 	0.119,	0.271,	0.001,	0.265,	0.273,	0.326,	0.284,	0.200,	0.216,	0.131,	0.302,	0.072,	0.000,	0.299,	0.166,	0.520,	0.622,	0.803,	0.396,	0.835,	0.959,	0.491,	0.530,	0.216, 
K20, 	S72, 	0.434,	0.195,	0.000,	0.209,	0.258,	0.005,	0.017,	0.172,	0.299,	0.305,	0.128,	0.012,	0.499,	0.224,	0.467,	0.385,	0.450,	0.634,	0.661,	0.797,	0.703,	0.584,	0.593,	0.473, 
K20, 	S73, 	0.390,	0.260,	0.102,	0.000,	0.277,	0.217,	0.312,	0.158,	0.197,	0.129,	0.000,	0.000,	0.000,	0.000,	0.304,	0.520,	0.523,	0.748,	0.732,	0.926,	0.798,	0.908,	0.746,	0.379, 
K20, 	S74, 	0.129,	0.195,	0.235,	0.134,	0.145,	0.207,	0.100,	0.260,	0.087,	0.049,	0.047,	0.192,	0.000,	0.006,	0.283,	0.520,	0.744,	0.655,	0.789,	0.513,	0.835,	0.755,	0.702,	0.230, 
K20, 	S75, 	0.276,	0.059,	0.000,	0.055,	0.223,	0.026,	0.209,	0.198,	0.122,	0.000,	0.022,	0.000,	0.021,	0.103,	0.440,	0.477,	0.583,	0.734,	0.401,	0.885,	0.804,	0.581,	0.742,	0.406, 
K20, 	S76, 	0.291,	0.098,	0.059,	0.280,	0.013,	0.133,	0.127,	0.223,	0.197,	0.056,	0.000,	0.043,	0.113,	0.170,	0.108,	0.508,	0.633,	0.739,	0.955,	0.916,	0.676,	0.607,	0.746,	0.467, 
K20, 	S77, 	0.050,	0.127,	0.000,	0.000,	0.169,	0.000,	0.000,	0.199,	0.313,	0.131,	0.291,	0.064,	0.028,	0.188,	0.360,	0.260,	0.491,	0.625,	0.960,	0.977,	0.605,	0.779,	0.732,	0.530, 
K20, 	S78, 	0.100,	0.262,	0.430,	0.182,	0.069,	0.137,	0.199,	0.000,	0.165,	0.000,	0.000,	0.115,	0.009,	0.028,	0.237,	0.621,	0.725,	0.938,	0.969,	0.903,	0.597,	0.856,	0.401,	0.226, 
K20, 	S79, 	0.175,	0.037,	0.075,	0.139,	0.169,	0.000,	0.198,	0.012,	0.102,	0.050,	0.000,	0.309,	0.097,	0.080,	0.440,	0.443,	0.668,	0.671,	0.770,	0.964,	0.643,	0.821,	0.677,	0.270, 
K20, 	S80, 	0.329,	0.072,	0.047,	0.190,	0.001,	0.002,	0.193,	0.090,	0.115,	0.088,	0.012,	0.369,	0.107,	0.258,	0.502,	0.507,	0.802,	0.882,	0.730,	0.739,	0.729,	0.534,	0.421,	0.477, 
K20, 	S81, 	0.371,	0.105,	0.001,	0.241,	0.186,	0.392,	0.199,	0.227,	0.159,	0.035,	0.000,	0.000,	0.110,	0.000,	0.313,	0.704,	0.854,	0.676,	0.895,	0.884,	0.810,	0.736,	0.632,	0.168, 
K20, 	S82, 	0.321,	0.392,	0.000,	0.000,	0.096,	0.223,	0.091,	0.180,	0.320,	0.007,	0.000,	0.000,	0.000,	0.026,	0.185,	0.546,	0.795,	0.503,	0.764,	0.884,	0.913,	0.747,	0.439,	0.425, 
K20, 	S83, 	0.278,	0.132,	0.312,	0.236,	0.002,	0.000,	0.000,	0.172,	0.000,	0.367,	0.098,	0.022,	0.100,	0.255,	0.614,	0.503,	0.631,	0.619,	0.694,	0.827,	0.598,	0.718,	0.747,	0.231, 
K20, 	S84, 	0.280,	0.118,	0.219,	0.299,	0.261,	0.000,	0.182,	0.000,	0.000,	0.084,	0.028,	0.046,	0.020,	0.465,	0.443,	0.619,	0.850,	0.830,	0.810,	0.960,	0.967,	0.652,	0.389,	0.305, 
K20, 	S85, 	0.152,	0.123,	0.176,	0.268,	0.000,	0.026,	0.050,	0.195,	0.135,	0.135,	0.071,	0.000,	0.111,	0.190,	0.203,	0.385,	0.495,	0.697,	0.928,	0.671,	0.666,	0.818,	0.585,	0.251, 
K20, 	S86, 	0.286,	0.261,	0.211,	0.145,	0.245,	0.422,	0.278,	0.173,	0.155,	0.000,	0.264,	0.038,	0.003,	0.148,	0.273,	0.383,	0.738,	0.563,	0.395,	0.724,	0.877,	0.882,	0.636,	0.372, 
K20, 	S87, 	0.119,	0.246,	0.000,	0.000,	0.277,	0.236,	0.110,	0.172,	0.000,	0.132,	0.090,	0.101,	0.000,	0.217,	0.123,	0.254,	0.850,	0.559,	0.403,	0.820,	1.058,	0.645,	0.529,	0.387, 
K20, 	S88, 	0.268,	0.329,	0.187,	0.050,	0.123,	0.111,	0.004,	0.136,	0.032,	0.044,	0.090,	0.000,	0.275,	0.163,	0.478,	0.706,	0.830,	0.846,	0.882,	0.446,	0.642,	0.580,	0.421,	0.377, 
K20, 	S89, 	0.137,	0.158,	0.001,	0.178,	0.014,	0.103,	0.085,	0.169,	0.060,	0.305,	0.006,	0.021,	0.000,	0.131,	0.478,	0.478,	0.942,	0.482,	0.891,	0.960,	1.041,	0.802,	0.440,	0.226, 
K20, 	S90, 	0.062,	0.060,	0.001,	0.167,	0.001,	0.000,	0.275,	0.070,	0.011,	0.102,	0.083,	0.039,	0.104,	0.241,	0.573,	0.386,	0.978,	0.976,	0.863,	0.871,	0.838,	0.762,	0.701,	0.086, 
K20, 	S91, 	0.446,	0.357,	0.026,	0.188,	0.116,	0.221,	0.070,	0.135,	0.087,	0.000,	0.091,	0.377,	0.108,	0.160,	0.063,	0.582,	0.809,	0.717,	0.803,	0.967,	0.967,	0.956,	0.416,	0.081, 
K20, 	S92, 	0.379,	0.398,	0.185,	0.062,	0.225,	0.191,	0.131,	0.156,	0.146,	0.272,	0.297,	0.000,	0.299,	0.000,	0.109,	0.264,	0.446,	0.746,	0.778,	0.743,	0.834,	0.849,	0.747,	0.460, 
K20, 	S93, 	0.217,	0.202,	0.000,	0.000,	0.368,	0.233,	0.101,	0.173,	0.313,	0.390,	0.000,	0.096,	0.107,	0.000,	0.034,	0.736,	0.393,	0.478,	0.670,	0.884,	0.835,	0.797,	0.746,	0.212, 
K20, 	S94, 	0.049,	0.033,	0.042,	0.184,	0.043,	0.008,	0.194,	0.000,	0.199,	0.101,	0.000,	0.250,	0.298,	0.229,	0.318,	0.568,	0.963,	0.918,	0.900,	0.829,	0.584,	0.580,	0.421,	0.180, 
K20, 	S95, 	0.372,	0.281,	0.175,	0.167,	0.216,	0.103,	0.091,	0.000,	0.000,	0.000,	0.003,	0.009,	0.087,	0.104,	0.299,	0.691,	0.906,	0.937,	0.893,	0.880,	0.760,	0.521,	0.729,	0.204, 
K20, 	S96, 	0.052,	0.039,	0.065,	0.037,	0.144,	0.105,	0.120,	0.210,	0.073,	0.118,	0.092,	0.048,	0.494,	0.155,	0.199,	0.384,	0.740,	0.814,	0.445,	0.797,	0.729,	0.582,	0.443,	0.136, 
K20, 	S97, 	0.228,	0.007,	0.446,	0.215,	0.014,	0.000,	0.386,	0.154,	0.115,	0.000,	0.159,	0.001,	0.102,	0.195,	0.394,	0.669,	0.838,	0.796,	0.688,	0.829,	1.008,	0.711,	0.493,	0.295, 
K20, 	S98, 	0.143,	0.065,	0.002,	0.262,	0.011,	0.407,	0.231,	0.041,	0.258,	0.000,	0.000,	0.000,	0.000,	0.000,	0.226,	0.693,	0.737,	0.802,	0.888,	0.801,	0.957,	0.859,	0.697,	0.090, 
K20, 	S99, 	0.066,	0.265,	0.000,	0.109,	0.062,	0.101,	0.226,	0.197,	0.301,	0.382,	0.097,	0.072,	0.159,	0.081,	0.250,	0.556,	0.742,	0.540,	0.611,	0.830,	0.845,	0.572,	0.718,	0.138, 
K20, 	S100, 	0.327,	0.133,	0.449,	0.264,	0.376,	0.003,	0.317,	0.120,	0.177,	0.000,	0.021,	0.064,	0.000,	0.160,	0.366,	0.855,	0.795,	0.677,	0.973,	0.910,	0.835,	0.810,	0.582,	0.472, 


K21, 	S1, 	0.057,	0.260,	0.232,	0.226,	0.215,	0.055,	0.039,	0.048,	0.000,	0.058,	0.344,	0.040,	0.158,	0.295,	0.559,	0.565,	0.282,	0.960,	0.756,	0.751,	0.708,	0.418,	0.387,	0.288, 
K21, 	S2, 	0.033,	0.000,	0.192,	0.075,	0.220,	0.255,	0.338,	0.236,	0.117,	0.078,	0.000,	0.000,	0.002,	0.068,	0.461,	0.704,	0.694,	0.650,	0.960,	0.820,	0.678,	0.604,	0.273,	0.000, 
K21, 	S3, 	0.382,	0.135,	0.150,	0.000,	0.155,	0.156,	0.076,	0.175,	0.031,	0.382,	0.258,	0.014,	0.187,	0.266,	0.599,	0.703,	0.629,	0.682,	0.546,	0.738,	0.930,	0.693,	0.421,	0.312, 
K21, 	S4, 	0.254,	0.047,	0.007,	0.021,	0.205,	0.088,	0.000,	0.105,	0.139,	0.065,	0.047,	0.000,	0.000,	0.249,	0.695,	0.734,	0.589,	0.776,	0.958,	0.878,	0.754,	0.565,	0.168,	0.220, 
K21, 	S5, 	0.272,	0.102,	0.233,	0.158,	0.215,	0.121,	0.000,	0.000,	0.121,	0.000,	0.000,	0.030,	0.366,	0.304,	0.611,	0.732,	0.752,	0.649,	0.479,	0.750,	0.908,	0.496,	0.284,	0.114, 
K21, 	S6, 	0.353,	0.161,	0.032,	0.275,	0.199,	0.057,	0.000,	0.186,	0.176,	0.078,	0.333,	0.036,	0.000,	0.306,	0.720,	0.601,	0.840,	0.814,	0.510,	0.724,	0.664,	0.383,	0.169,	0.300, 
K21, 	S7, 	0.259,	0.118,	0.238,	0.267,	0.122,	0.036,	0.164,	0.173,	0.124,	0.165,	0.000,	0.020,	0.366,	0.385,	0.436,	0.620,	0.917,	0.748,	0.937,	0.751,	0.636,	0.848,	0.428,	0.391, 
K21, 	S8, 	0.000,	0.208,	0.334,	0.027,	0.033,	0.200,	0.227,	0.000,	0.188,	0.000,	0.000,	0.090,	0.165,	0.349,	0.758,	0.435,	0.886,	0.800,	0.780,	0.734,	0.665,	0.729,	0.172,	0.092, 
K21, 	S9, 	0.279,	0.161,	0.000,	0.125,	0.160,	0.406,	0.000,	0.147,	0.000,	0.000,	0.043,	0.013,	0.175,	0.210,	0.551,	0.563,	0.699,	0.854,	0.475,	0.751,	0.868,	0.476,	0.438,	0.240, 
K21, 	S10, 	0.315,	0.125,	0.000,	0.226,	0.226,	0.172,	0.000,	0.197,	0.070,	0.032,	0.000,	0.000,	0.000,	0.213,	0.490,	0.733,	0.861,	0.292,	0.808,	0.921,	1.037,	0.570,	0.139,	0.319, 
K21, 	S11, 	0.239,	0.072,	0.033,	0.002,	0.007,	0.426,	0.163,	0.000,	0.077,	0.000,	0.120,	0.068,	0.170,	0.223,	0.428,	0.649,	0.786,	0.848,	0.960,	0.597,	0.900,	0.674,	0.307,	0.154, 
K21, 	S12, 	0.296,	0.171,	0.123,	0.215,	0.236,	0.168,	0.330,	0.000,	0.171,	0.023,	0.000,	0.000,	0.078,	0.475,	0.650,	0.724,	0.882,	0.906,	0.960,	0.993,	0.722,	0.565,	0.134,	0.204, 
K21, 	S13, 	0.342,	0.081,	0.233,	0.118,	0.113,	0.000,	0.000,	0.087,	0.121,	0.269,	0.055,	0.258,	0.213,	0.400,	0.715,	0.759,	0.720,	0.775,	0.764,	0.698,	0.413,	0.392,	0.170,	0.279, 
K21, 	S14, 	0.354,	0.202,	0.000,	0.051,	0.000,	0.056,	0.000,	0.000,	0.111,	0.263,	0.000,	0.279,	0.415,	0.544,	0.643,	0.628,	0.886,	0.900,	0.857,	0.614,	0.601,	0.669,	0.312,	0.202, 
K21, 	S15, 	0.286,	0.208,	0.298,	0.025,	0.000,	0.215,	0.041,	0.000,	0.133,	0.000,	0.423,	0.040,	0.388,	0.242,	0.496,	0.927,	0.860,	0.955,	0.718,	0.564,	0.959,	0.709,	0.423,	0.303, 
K21, 	S16, 	0.356,	0.030,	0.230,	0.051,	0.015,	0.124,	0.066,	0.000,	0.000,	0.000,	0.242,	0.271,	0.173,	0.365,	0.443,	0.734,	0.783,	0.959,	0.532,	0.753,	0.736,	0.673,	0.312,	0.292, 
K21, 	S17, 	0.271,	0.074,	0.178,	0.059,	0.002,	0.121,	0.121,	0.161,	0.365,	0.017,	0.440,	0.320,	0.000,	0.263,	0.649,	0.543,	0.694,	0.304,	0.815,	0.667,	0.417,	0.601,	0.466,	0.401, 
K21, 	S18, 	0.355,	0.409,	0.325,	0.013,	0.115,	0.120,	0.000,	0.094,	0.068,	0.007,	0.284,	0.000,	0.108,	0.489,	0.561,	0.886,	0.883,	0.374,	0.716,	0.626,	0.577,	0.417,	0.168,	0.081, 
K21, 	S19, 	0.000,	0.001,	0.129,	0.163,	0.023,	0.185,	0.000,	0.044,	0.046,	0.185,	0.002,	0.249,	0.027,	0.388,	0.420,	0.788,	0.860,	0.960,	0.859,	0.817,	0.749,	0.459,	0.168,	0.144, 
K21, 	S20, 	0.291,	0.074,	0.356,	0.005,	0.219,	0.199,	0.036,	0.015,	0.000,	0.000,	0.042,	0.096,	0.258,	0.383,	0.652,	0.862,	0.700,	0.960,	0.816,	0.714,	0.721,	0.639,	0.324,	0.091, 
K21, 	S21, 	0.143,	0.152,	0.152,	0.002,	0.092,	0.016,	0.000,	0.192,	0.566,	0.265,	0.128,	0.262,	0.384,	0.395,	0.476,	0.728,	0.806,	0.784,	0.445,	0.942,	0.636,	0.608,	0.436,	0.302, 
K21, 	S22, 	0.231,	0.229,	0.136,	0.143,	0.001,	0.272,	0.025,	0.418,	0.123,	0.012,	0.294,	0.089,	0.175,	0.224,	0.560,	0.553,	0.205,	0.754,	0.953,	0.751,	0.690,	0.712,	0.502,	0.371, 
K21, 	S23, 	0.263,	0.228,	0.101,	0.000,	0.558,	0.036,	0.000,	0.183,	0.000,	0.015,	0.055,	0.264,	0.050,	0.225,	0.727,	0.790,	0.627,	0.955,	0.793,	0.802,	0.724,	0.414,	0.428,	0.115, 
K21, 	S24, 	0.355,	0.176,	0.224,	0.160,	0.000,	0.035,	0.229,	0.048,	0.135,	0.375,	0.431,	0.000,	0.357,	0.385,	0.551,	0.600,	0.699,	0.284,	0.544,	0.834,	0.504,	0.812,	0.363,	0.335, 
K21, 	S25, 	0.198,	0.153,	0.323,	0.248,	0.119,	0.173,	0.039,	0.122,	0.000,	0.000,	0.070,	0.299,	0.167,	0.385,	0.683,	0.419,	0.700,	0.958,	0.812,	0.695,	0.697,	0.664,	0.428,	0.229, 
K21, 	S26, 	0.263,	0.205,	0.232,	0.052,	0.094,	0.061,	0.094,	0.040,	0.128,	0.167,	0.087,	0.273,	0.188,	0.225,	0.644,	0.635,	0.270,	0.905,	0.833,	0.707,	0.626,	0.590,	0.250,	0.227, 
K21, 	S27, 	0.119,	0.118,	0.033,	0.000,	0.363,	0.000,	0.078,	0.062,	0.125,	0.267,	0.224,	0.292,	0.000,	0.384,	0.633,	0.629,	0.610,	0.960,	0.809,	0.913,	0.520,	0.681,	0.126,	0.346, 
K21, 	S28, 	0.000,	0.000,	0.003,	0.212,	0.015,	0.001,	0.208,	0.170,	0.000,	0.228,	0.336,	0.000,	0.118,	0.550,	0.782,	0.502,	0.411,	0.900,	0.893,	0.926,	0.709,	0.415,	0.174,	0.158, 
K21, 	S29, 	0.266,	0.022,	0.000,	0.192,	0.521,	0.401,	0.217,	0.228,	0.029,	0.078,	0.000,	0.000,	0.002,	0.208,	0.538,	0.729,	0.609,	0.943,	0.864,	0.910,	1.033,	0.420,	0.168,	0.368, 
K21, 	S30, 	0.057,	0.144,	0.026,	0.121,	0.226,	0.092,	0.052,	0.000,	0.140,	0.267,	0.049,	0.089,	0.081,	0.291,	0.485,	0.734,	0.793,	0.752,	0.951,	0.806,	0.625,	0.654,	0.240,	0.067, 
K21, 	S31, 	0.238,	0.227,	0.172,	0.131,	0.029,	0.225,	0.036,	0.000,	0.000,	0.045,	0.000,	0.000,	0.128,	0.228,	0.642,	0.630,	0.691,	0.956,	0.871,	0.774,	0.749,	0.750,	0.168,	0.334, 
K21, 	S32, 	0.239,	0.392,	0.181,	0.078,	0.231,	0.000,	0.000,	0.000,	0.180,	0.176,	0.001,	0.238,	0.171,	0.573,	0.698,	0.671,	0.755,	0.726,	0.757,	0.751,	0.823,	0.461,	0.311,	0.111, 
K21, 	S33, 	0.213,	0.162,	0.284,	0.116,	0.211,	0.205,	0.307,	0.119,	0.256,	0.000,	0.417,	0.094,	0.000,	0.289,	0.423,	0.779,	0.627,	0.852,	0.986,	0.851,	0.640,	0.460,	0.291,	0.303, 
K21, 	S34, 	0.126,	0.042,	0.087,	0.220,	0.217,	0.052,	0.111,	0.242,	0.310,	0.264,	0.123,	0.013,	0.171,	0.254,	0.519,	0.565,	0.608,	0.960,	0.960,	0.907,	1.002,	0.382,	0.307,	0.376, 
K21, 	S35, 	0.137,	0.227,	0.000,	0.221,	0.090,	0.000,	0.262,	0.000,	0.100,	0.106,	0.386,	0.000,	0.199,	0.383,	0.690,	0.607,	0.805,	0.875,	0.823,	0.780,	0.693,	0.432,	0.434,	0.075, 
K21, 	S36, 	0.185,	0.125,	0.375,	0.276,	0.078,	0.111,	0.106,	0.167,	0.000,	0.000,	0.032,	0.000,	0.000,	0.401,	0.639,	0.761,	0.604,	0.955,	0.960,	0.691,	1.051,	0.664,	0.123,	0.107, 
K21, 	S37, 	0.376,	0.003,	0.170,	0.120,	0.238,	0.252,	0.017,	0.000,	0.147,	0.148,	0.004,	0.000,	0.114,	0.382,	0.622,	0.933,	0.606,	0.430,	0.957,	0.640,	0.752,	0.570,	0.196,	0.262, 
K21, 	S38, 	0.355,	0.309,	0.100,	0.228,	0.064,	0.249,	0.000,	0.100,	0.127,	0.000,	0.008,	0.027,	0.217,	0.326,	0.524,	0.727,	0.480,	0.835,	0.890,	0.797,	0.715,	0.564,	0.168,	0.334, 
K21, 	S39, 	0.000,	0.156,	0.181,	0.152,	0.208,	0.007,	0.103,	0.000,	0.000,	0.274,	0.000,	0.177,	0.159,	0.385,	0.467,	0.629,	0.836,	0.930,	0.923,	0.879,	0.542,	0.620,	0.167,	0.000, 
K21, 	S40, 	0.238,	0.030,	0.317,	0.225,	0.000,	0.000,	0.155,	0.131,	0.140,	0.266,	0.000,	0.015,	0.001,	0.383,	0.422,	0.713,	0.870,	0.854,	0.959,	0.942,	0.681,	0.613,	0.309,	0.331, 
K21, 	S41, 	0.147,	0.075,	0.223,	0.207,	0.226,	0.088,	0.344,	0.069,	0.049,	0.000,	0.000,	0.000,	0.185,	0.224,	0.385,	0.562,	0.804,	0.978,	0.960,	0.942,	0.635,	0.475,	0.432,	0.204, 
K21, 	S42, 	0.118,	0.159,	0.424,	0.083,	0.568,	0.000,	0.339,	0.017,	0.000,	0.000,	0.362,	0.117,	0.008,	0.388,	0.646,	0.407,	0.834,	0.960,	0.916,	0.919,	0.676,	0.562,	0.310,	0.079, 
K21, 	S43, 	0.228,	0.157,	0.100,	0.156,	0.394,	0.086,	0.168,	0.079,	0.000,	0.101,	0.000,	0.000,	0.270,	0.270,	0.610,	0.638,	0.696,	0.390,	0.855,	0.942,	0.801,	0.697,	0.168,	0.214, 
K21, 	S44, 	0.234,	0.091,	0.181,	0.014,	0.226,	0.018,	0.036,	0.001,	0.121,	0.172,	0.056,	0.218,	0.192,	0.547,	0.555,	0.692,	0.193,	0.651,	0.576,	0.622,	0.410,	0.359,	0.362,	0.278, 
K21, 	S45, 	0.280,	0.192,	0.195,	0.196,	0.000,	0.229,	0.123,	0.000,	0.134,	0.000,	0.057,	0.060,	0.313,	0.302,	0.466,	0.802,	0.944,	0.910,	0.884,	0.939,	0.538,	0.609,	0.168,	0.338, 
K21, 	S46, 	0.270,	0.109,	0.432,	0.217,	0.004,	0.185,	0.253,	0.081,	0.000,	0.240,	0.000,	0.173,	0.039,	0.384,	0.525,	0.704,	0.910,	0.955,	0.812,	1.023,	0.764,	0.562,	0.428,	0.292, 
K21, 	S47, 	0.322,	0.401,	0.168,	0.159,	0.019,	0.115,	0.000,	0.063,	0.000,	0.000,	0.046,	0.333,	0.380,	0.226,	0.530,	0.980,	0.682,	0.654,	0.957,	0.545,	0.634,	0.708,	0.312,	0.111, 
K21, 	S48, 	0.240,	0.239,	0.425,	0.275,	0.022,	0.327,	0.248,	0.000,	0.121,	0.014,	0.000,	0.037,	0.170,	0.248,	0.326,	0.789,	0.896,	0.959,	0.862,	0.609,	0.748,	0.833,	0.251,	0.175, 
K21, 	S49, 	0.294,	0.126,	0.014,	0.052,	0.000,	0.049,	0.063,	0.000,	0.026,	0.056,	0.229,	0.030,	0.226,	0.221,	0.734,	0.775,	0.884,	0.740,	0.756,	0.942,	0.884,	0.402,	0.285,	0.012, 
K21, 	S50, 	0.139,	0.000,	0.177,	0.017,	0.209,	0.180,	0.147,	0.001,	0.042,	0.265,	0.023,	0.306,	0.025,	0.382,	0.560,	0.622,	0.807,	0.784,	0.856,	0.957,	0.785,	0.491,	0.312,	0.372, 
K21, 	S51, 	0.290,	0.120,	0.187,	0.251,	0.246,	0.119,	0.321,	0.000,	0.059,	0.169,	0.016,	0.000,	0.014,	0.303,	0.601,	0.661,	0.683,	0.856,	0.857,	0.887,	0.770,	0.702,	0.167,	0.173, 
K21, 	S52, 	0.355,	0.000,	0.000,	0.226,	0.069,	0.247,	0.129,	0.191,	0.131,	0.355,	0.000,	0.309,	0.000,	0.361,	0.376,	0.640,	0.630,	0.325,	0.757,	0.637,	0.694,	0.702,	0.223,	0.212, 
K21, 	S53, 	0.265,	0.090,	0.000,	0.036,	0.181,	0.230,	0.262,	0.154,	0.216,	0.349,	0.109,	0.261,	0.413,	0.377,	0.460,	0.552,	0.609,	0.311,	0.849,	0.816,	0.427,	0.507,	0.312,	0.331, 
K21, 	S54, 	0.355,	0.136,	0.000,	0.227,	0.231,	0.406,	0.111,	0.188,	0.190,	0.000,	0.000,	0.000,	0.000,	0.045,	0.541,	0.702,	0.210,	0.792,	0.958,	0.806,	0.890,	0.711,	0.173,	0.398, 
K21, 	S55, 	0.131,	0.126,	0.000,	0.129,	0.000,	0.056,	0.233,	0.167,	0.008,	0.015,	0.000,	0.000,	0.099,	0.397,	0.564,	0.417,	0.724,	0.960,	0.960,	0.744,	0.439,	0.478,	0.311,	0.153, 
K21, 	S56, 	0.265,	0.108,	0.188,	0.000,	0.535,	0.150,	0.038,	0.000,	0.129,	0.269,	0.070,	0.036,	0.000,	0.240,	0.691,	0.567,	0.621,	0.650,	0.838,	0.829,	0.687,	0.667,	0.134,	0.315, 
K21, 	S57, 	0.000,	0.191,	0.192,	0.226,	0.134,	0.042,	0.111,	0.169,	0.130,	0.000,	0.132,	0.271,	0.156,	0.066,	0.336,	0.602,	0.708,	0.847,	0.960,	0.924,	0.777,	0.492,	0.163,	0.255, 
K21, 	S58, 	0.174,	0.422,	0.231,	0.264,	0.165,	0.028,	0.000,	0.000,	0.143,	0.013,	0.000,	0.000,	0.114,	0.442,	0.702,	0.783,	0.884,	0.987,	0.955,	0.947,	0.658,	0.424,	0.160,	0.093, 
K21, 	S59, 	0.058,	0.126,	0.021,	0.127,	0.000,	0.248,	0.228,	0.408,	0.141,	0.000,	0.117,	0.073,	0.185,	0.259,	0.726,	0.402,	0.882,	0.933,	0.960,	0.693,	0.488,	0.581,	0.168,	0.374, 
K21, 	S60, 	0.000,	0.024,	0.208,	0.264,	0.226,	0.000,	0.253,	0.000,	0.000,	0.159,	0.000,	0.000,	0.002,	0.382,	0.431,	0.634,	0.862,	0.960,	0.960,	0.915,	0.707,	0.427,	0.500,	0.187, 
K21, 	S61, 	0.259,	0.121,	0.025,	0.051,	0.179,	0.017,	0.184,	0.166,	0.000,	0.193,	0.041,	0.037,	0.000,	0.244,	0.611,	0.628,	0.804,	0.889,	0.876,	0.869,	0.741,	0.413,	0.168,	0.207, 
K21, 	S62, 	0.246,	0.000,	0.084,	0.049,	0.004,	0.126,	0.233,	0.000,	0.092,	0.000,	0.122,	0.000,	0.114,	0.206,	0.504,	0.638,	0.759,	0.739,	0.960,	0.661,	0.768,	0.678,	0.172,	0.219, 
K21, 	S63, 	0.090,	0.156,	0.059,	0.031,	0.001,	0.102,	0.191,	0.000,	0.121,	0.263,	0.211,	0.000,	0.048,	0.208,	0.712,	0.767,	0.884,	0.295,	0.957,	1.002,	0.645,	0.672,	0.168,	0.041, 
K21, 	S64, 	0.286,	0.192,	0.232,	0.222,	0.212,	0.425,	0.077,	0.121,	0.180,	0.000,	0.000,	0.007,	0.000,	0.209,	0.395,	0.893,	0.691,	0.651,	0.910,	0.837,	0.655,	0.733,	0.292,	0.065, 
K21, 	S65, 	0.388,	0.078,	0.014,	0.289,	0.019,	0.177,	0.102,	0.000,	0.000,	0.000,	0.000,	0.305,	0.189,	0.544,	0.522,	0.964,	0.885,	0.825,	0.960,	0.743,	0.758,	0.554,	0.171,	0.210, 
K21, 	S66, 	0.132,	0.055,	0.000,	0.005,	0.000,	0.124,	0.236,	0.133,	0.053,	0.198,	0.445,	0.321,	0.171,	0.225,	0.427,	0.780,	0.914,	0.944,	0.408,	0.646,	0.419,	0.602,	0.256,	0.067, 
K21, 	S67, 	0.172,	0.422,	0.232,	0.226,	0.196,	0.168,	0.165,	0.098,	0.000,	0.078,	0.000,	0.000,	0.351,	0.377,	0.648,	0.613,	0.886,	0.856,	0.751,	1.016,	0.743,	0.561,	0.428,	0.051, 
K21, 	S68, 	0.236,	0.140,	0.200,	0.003,	0.117,	0.119,	0.053,	0.025,	0.030,	0.082,	0.000,	0.109,	0.182,	0.053,	0.464,	0.551,	0.955,	0.718,	0.802,	0.611,	0.684,	0.471,	0.168,	0.346, 
K21, 	S69, 	0.329,	0.157,	0.232,	0.184,	0.112,	0.181,	0.100,	0.000,	0.080,	0.117,	0.000,	0.000,	0.371,	0.381,	0.337,	0.704,	0.861,	0.791,	0.669,	0.965,	0.565,	0.458,	0.327,	0.385, 
K21, 	S70, 	0.138,	0.000,	0.046,	0.050,	0.001,	0.009,	0.244,	0.101,	0.121,	0.113,	0.000,	0.325,	0.109,	0.540,	0.440,	0.542,	0.729,	0.838,	0.757,	0.621,	0.637,	0.675,	0.434,	0.188, 
